[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | INFO: Tag[ view_template ] --START--
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000869s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000952s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | INFO: Tag[ view_parse ] --START--
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.016978s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017072s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | INFO: Tag[ view_filter ] --START--
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000511s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000479s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000329s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000533s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002050s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | INFO: Tag[ view_end ] --START--
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000453s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000522s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Tag[ route_check ] --START--
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Run CheckRoute Behavior [ RunTime:0.000810s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Tag[ route_check ] --END-- [ RunTime:0.001087s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Tag[ app_begin ] --START--
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000629s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000704s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.006737s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000375s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.005079s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000258s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SHOW COLUMNS FROM `xt_bonus` [ RunTime:0.003973s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT * FROM `xt_bonus` WHERE ( `uid` = '1' ) ORDER BY id desc LIMIT 10   [ RunTime:0.000522s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SHOW COLUMNS FROM `xt_form` [ RunTime:0.003381s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT * FROM `xt_form` WHERE ( `status` = 1 ) ORDER BY baile desc,id desc LIMIT 1   [ RunTime:0.010821s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT * FROM `xt_form` WHERE ( `status` = 1 ) ORDER BY baile desc,id desc LIMIT 1,10   [ RunTime:0.000360s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SHOW COLUMNS FROM `xt_product` [ RunTime:0.003555s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT * FROM `xt_product` WHERE ( `yc_cp` = 0 ) ORDER BY id asc LIMIT 12   [ RunTime:0.000371s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT COUNT(*) AS tp_count FROM `xt_fck` WHERE ( `re_id` = '1' ) AND ( `is_pay` = 1 ) LIMIT 1   [ RunTime:0.000252s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SHOW COLUMNS FROM `xt_msg` [ RunTime:0.003474s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT COUNT(*) AS tp_count FROM `xt_msg` WHERE ( `isid` = '1' ) AND ( `s_uid` = '1' ) AND ( `is_read` = 0 ) LIMIT 1   [ RunTime:0.000231s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT * FROM `xt_fck` WHERE id=1 LIMIT 1   [ RunTime:0.000528s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT COUNT(*) AS tp_count FROM `xt_fck` WHERE p_path like "%,1,%" and is_pay>0 LIMIT 1   [ RunTime:0.000248s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT SUM(f4) AS tp_sum FROM `xt_fck` WHERE re_id=1 and is_pay>0 LIMIT 1   [ RunTime:0.000204s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT SUM(f4) AS tp_sum FROM `xt_fck` WHERE p_path like "%,1,%" and is_pay>0 LIMIT 1   [ RunTime:0.000196s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SHOW COLUMNS FROM `xt_xiaof` [ RunTime:0.003622s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT SUM(money_two) AS tp_sum FROM `xt_xiaof` WHERE uid=1 and is_pay=0 and money_two>0 LIMIT 1   [ RunTime:0.000232s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT SUM(money) AS tp_sum FROM `xt_xiaof` WHERE uid=1 and is_pay=0 and money>0 LIMIT 1   [ RunTime:0.000205s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT `str21`,`str22`,`str23` FROM `xt_fee` LIMIT 1   [ RunTime:0.000199s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT * FROM `xt_form` WHERE ( `status` = 1 ) ORDER BY baile desc,id desc LIMIT 10   [ RunTime:0.000264s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT * FROM `xt_form` WHERE ( `status` = 1 ) ORDER BY baile desc,id desc LIMIT 3   [ RunTime:0.000241s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Tag[ view_template ] --START--
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Run LocationTemplate Behavior [ RunTime:0.000795s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Tag[ view_template ] --END-- [ RunTime:0.000874s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Tag[ view_parse ] --START--
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | SQL: SELECT * FROM `xt_fck` WHERE user_id='100000' LIMIT 1   [ RunTime:0.000543s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | NOTIC: [8] Undefined index: agent_xianjin df847308fbeec079fead8f934f8fb1d9.php 第 73 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | NOTIC: [8] Undefined index: live_gupiao df847308fbeec079fead8f934f8fb1d9.php 第 76 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | NOTIC: [8] Undefined index: yuan_gupiao df847308fbeec079fead8f934f8fb1d9.php 第 79 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | NOTIC: [8] Undefined variable: voo df847308fbeec079fead8f934f8fb1d9.php 第 156 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | NOTIC: [8] Undefined variable: all_money df847308fbeec079fead8f934f8fb1d9.php 第 170 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | NOTIC: [8] Undefined variable: server df847308fbeec079fead8f934f8fb1d9.php 第 174 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | NOTIC: [8] Undefined variable: server df847308fbeec079fead8f934f8fb1d9.php 第 174 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Run ParseTemplate Behavior [ RunTime:0.033501s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033572s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Tag[ view_filter ] --START--
